training_fraction,training_subset,training_tokens,n,k,selected_alpha,validation_cross_entropy,N_k,T_k,f_1_k,S_k,D_k,test_cross_entropy,test_perplexity,test_U_k,test_N
0.2,20%,158000,5,4,0.001,9.515386419429163,157368,154488,152549,0.9693775100401606,0.9816989476894922,9.511507390408276,13514.350372508168,0.985259004451639,98840
0.2,20%,158000,6,5,0.0001,9.53160199741578,157210,156157,155404,0.9885121811589593,0.9933019528019846,9.52097073917489,13642.848435461634,0.995447187373533,98840
0.4,40%,316000,1,0,1.0,6.652472003391514,316000,1,0,0.0,3.1645569620253167e-06,6.722402787228566,830.8113780721787,0.0,98840
0.4,40%,316000,2,1,0.01,6.934565118715525,315684,11902,2958,0.00937012962329418,0.037702259221246565,7.09776215820014,1209.2579163774662,0.008528935653581546,98840
0.4,40%,316000,3,2,0.01,8.707801993310769,315368,149171,113933,0.36127000837117274,0.4730061388599985,8.82153519032304,6778.66317946326,0.38485430999595305,98840
0.4,40%,316000,4,3,0.001,9.390947395212322,315052,275454,256313,0.8135577618932748,0.8743128118532814,9.415845137663277,12281.448339019074,0.8462262242007285,98840
0.4,40%,316000,5,4,0.001,9.503805017025304,314736,307532,302852,0.962241370545473,0.9771109755477607,9.500786094777073,13370.232970015804,0.9779138000809389,98840
0.4,40%,316000,6,5,0.0001,9.526861994076349,314420,312031,310385,0.9871668468926913,0.9924018828318809,9.514203580227969,13550.836791454964,0.9938992310805342,98840
0.8,80%,632755,1,0,1.0,6.641602202741721,632755,1,0,0.0,1.580390514496132e-06,6.710417974649462,820.9136888639964,0.0,98840
0.8,80%,632755,2,1,0.01,6.688836587385685,632122,13717,1185,0.0018746381236533455,0.021699925014475055,6.835922423028753,930.6864415095398,0.0005362201537838932,98840
0.8,80%,632755,3,2,0.01,8.455936613105848,631489,252429,184933,0.292852290380355,0.39973617909417264,8.588776911127262,5371.040396634217,0.31475111290975316,98840
0.8,80%,632755,4,3,0.001,9.3173808126068,630856,524440,479227,0.7596456243580152,0.8313149118023765,9.357434425899939,11584.629158888183,0.7969850263051396,98840
0.8,80%,632755,5,4,0.001,9.485211996153428,630223,609152,596133,0.9459080357270363,0.9665658028983392,9.482127818728186,13123.08036329208,0.9669668150546338,98840
0.8,80%,632755,6,5,0.0001,9.519697110747673,629590,622970,618519,0.9824155402722407,0.9894852205403517,9.500972326421051,13372.723162351287,0.9910562525293404,98840
1.0,100%,790755,1,0,1.0,6.63792084005908,790755,1,0,0.0,1.264614197823599e-06,6.708297744150424,819.1750064788357,0.0,98840
1.0,100%,790755,2,1,0.01,6.614392794740976,789964,13938,8,1.0127043764019626e-05,0.017643841997863195,6.759190029715512,861.9437641371284,0.0,98840
1.0,100%,790755,3,2,0.01,8.369612342140172,789173,297347,214754,0.2721253768185176,0.3767830374328569,8.50889264926192,4958.669061133341,0.29382840955078915,98840
1.0,100%,790755,4,3,0.001,9.290344470080559,788382,643123,584173,0.7409770897864233,0.8157504864393149,9.33539877520567,11332.146345285606,0.7800182112505059,98840
1.0,100%,790755,5,4,0.001,9.47932719324235,787591,758202,740272,0.9399193236083195,0.9626849468823285,9.477014218542013,13056.145462120881,0.9626770538243626,98840
1.0,100%,790755,6,5,0.0001,9.518519173791042,786800,777858,771789,0.980921453990849,0.9886349771225216,9.500068047200742,13360.63595260659,0.9902468636179684,98840
